rank,name,combined,impact,journals,currency,cases,scope,editing,format
238,"American University Journal of Gender, Social Policy & the Law",6.97,0.46,81,0.65,3,Specialized,Student-Edited,Print
239,New York University Journal of Law & Liberty,6.96,0.33,118,0.37,5,Specialized,Student-Edited,Print
240,American Political Science Review,6.95,0.12,179,0.20,1,Specialized,Refereed,Print
241,Theoretical Inquiries in Law,6.93,0.37,106,0.72,1,Specialized,Refereed,Print
242,Case Western Reserve Law Review,6.92,0.26,137,0.52,8,General,Student-Edited,Print
243,Baylor Law Review,6.89,0.31,123,0.65,15,General,Student-Edited,Print
244,New York University Annual Survey of American Law,6.86,0.36,107,0.67,2,Specialized,Student-Edited,Print
245,University of Miami Law Review,6.85,0.32,117,0.65,8,General,Student-Edited,Print
246,Wyoming Law Review,6.85,0.40,95,0.61,90,General,Student-Edited,Print
247,Cardozo Law Review De Novo [online],6.81,0.51,61,1.04,3,General,Student-Edited,Online
248,Cardozo Journal of Conflict Resolution,6.68,0.34,108,0.43,0,Specialized,Student-Edited,Print
249,Emory Law Journal Online [online],6.65,0.58,37,0.92,1,General,Student-Edited,Online
250,Catholic University Law Review,6.54,0.36,98,0.52,2,General,Student-Edited,Print
251,Journal of Law & Economics,6.53,0.29,118,0.45,2,Specialized,Student-Edited,Print
252,European Journal of International Law,6.51,0.13,162,0.20,1,Specialized,Refereed,Print
253,Washburn Law Journal,6.47,0.29,116,0.51,1,General,Student-Edited,Print
254,Drexel Law Review,6.43,0.29,114,0.42,10,General,Student-Edited,Print
255,Ohio State Journal on Dispute Resolution,6.41,0.38,87,0.71,0,Specialized,Student-Edited,Print
256,Emory Bankruptcy Developments Journal,6.36,0.31,106,0.62,8,Specialized,Student-Edited,Print
257,American Journal of Law & Medicine,6.34,0.28,115,0.41,2,Specialized,Student-Edited,Print
258,Tax Lawyer,6.31,0.37,88,0.73,3,Specialized,Peer-Edited,Print
259,Northeastern University Law Review,6.30,0.34,95,0.69,1,General,Student-Edited,Print
260,Texas Review of Law and Politics,6.28,0.33,99,0.41,10,Specialized,Student-Edited,Print
261,Journal of Legal Education,6.23,0.23,127,0.38,1,Specialized,Student-Edited,Print
262,"Notre Dame Journal of Law, Ethics & Public Policy",6.19,0.28,110,0.48,1,Specialized,Student-Edited,Print
263,Santa Clara Law Review,6.18,0.31,100,0.47,3,General,Student-Edited,Print
264,Montana Law Review,6.14,0.35,87,0.61,0,General,Student-Edited,Print
265,Duquesne Law Review,6.09,0.31,99,0.49,0,General,Student-Edited,Print
266,Saint Louis University Journal of Health Law & Policy,6.05,0.41,69,0.46,1,Specialized,Student-Edited,Print
267,ACTEC Law Journal,6.01,0.33,91,0.48,1,Specialized,Peer-Edited,Print
268,University of Toronto Law Journal,5.99,0.30,99,0.66,0,General,Refereed,Print
269,University of the Pacific Law Review,5.98,0.23,117,0.49,2,General,Student-Edited,Print
270,Virginia Law & Business Review,5.96,0.41,65,0.63,0,Specialized,Student-Edited,Print
271,German Law Journal [online],5.81,0.11,147,0.22,2,Specialized,Peer-Edited,Online
